PostalCode,Borough,Neighborhood,Latitude,Longitude
M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
M5R,Central Toronto,The Annex,43.6727097,-79.40567840000001
M5R,Central Toronto,North Midtown,43.6727097,-79.40567840000001
M5R,Central Toronto,Yorkville,43.6727097,-79.40567840000001
M6R,West Toronto,Parkdale,43.6489597,-79.456325
M6R,West Toronto,Roncesvalles,43.6489597,-79.456325
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
M9R,Etobicoke,Kingsview Village,43.6889054,-79.55472440000001
M9R,Etobicoke,Martin Grove Gardens,43.6889054,-79.55472440000001
M9R,Etobicoke,Richview Gardens,43.6889054,-79.55472440000001
M9R,Etobicoke,St. Phillips,43.6889054,-79.55472440000001
M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
M4S,Central Toronto,Davisville,43.7043244,-79.3887901
M5S,Downtown Toronto,Harbord,43.6626956,-79.4000493
M5S,Downtown Toronto,University of Toronto,43.6626956,-79.4000493
M6S,West Toronto,Runnymede,43.6515706,-79.4844499
M6S,West Toronto,Swansea,43.6515706,-79.4844499
M1T,Scarborough,Clarks Corners,43.7816375,-79.3043021
M1T,Scarborough,Sullivan,43.7816375,-79.3043021
M1T,Scarborough,Tam O'Shanter,43.7816375,-79.3043021
M4T,Central Toronto,Moore Park,43.6895743,-79.38315990000001
M4T,Central Toronto,Summerhill East,43.6895743,-79.38315990000001
M5T,Downtown Toronto,Chinatown,43.6532057,-79.4000493
M5T,Downtown Toronto,Grange Park,43.6532057,-79.4000493
M5T,Downtown Toronto,Kensington Market,43.6532057,-79.4000493
M1V,Scarborough,Agincourt North,43.8152522,-79.2845772
M1V,Scarborough,L'Amoreaux East,43.8152522,-79.2845772
M1V,Scarborough,Milliken,43.8152522,-79.2845772
M1V,Scarborough,Steeles East,43.8152522,-79.2845772
M4V,Central Toronto,Deer Park,43.68641229999999,-79.4000493
M4V,Central Toronto,Forest Hill SE,43.68641229999999,-79.4000493
M4V,Central Toronto,Rathnelly,43.68641229999999,-79.4000493
M4V,Central Toronto,South Hill,43.68641229999999,-79.4000493
M4V,Central Toronto,Summerhill West,43.68641229999999,-79.4000493
M5V,Downtown Toronto,CN Tower,43.6289467,-79.3944199
M5V,Downtown Toronto,Bathurst Quay,43.6289467,-79.3944199
M5V,Downtown Toronto,Island airport,43.6289467,-79.3944199
M5V,Downtown Toronto,Harbourfront West,43.6289467,-79.3944199
M5V,Downtown Toronto,King and Spadina,43.6289467,-79.3944199
M5V,Downtown Toronto,Railway Lands,43.6289467,-79.3944199
M5V,Downtown Toronto,South Niagara,43.6289467,-79.3944199
M8V,Etobicoke,Humber Bay Shores,43.6056466,-79.50132070000001
M8V,Etobicoke,Mimico South,43.6056466,-79.50132070000001
M8V,Etobicoke,New Toronto,43.6056466,-79.50132070000001
M9V,Etobicoke,Albion Gardens,43.739416399999996,-79.5884369
M9V,Etobicoke,Beaumond Heights,43.739416399999996,-79.5884369
M9V,Etobicoke,Humbergate,43.739416399999996,-79.5884369
M9V,Etobicoke,Jamestown,43.739416399999996,-79.5884369
M9V,Etobicoke,Mount Olive,43.739416399999996,-79.5884369
M9V,Etobicoke,Silverstone,43.739416399999996,-79.5884369
M9V,Etobicoke,South Steeles,43.739416399999996,-79.5884369
M9V,Etobicoke,Thistletown,43.739416399999996,-79.5884369
M1W,Scarborough,L'Amoreaux West,43.799525200000005,-79.3183887
M1W,Scarborough,Steeles West,43.799525200000005,-79.3183887
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
M8W,Etobicoke,Alderwood,43.60241370000001,-79.54348409999999
M8W,Etobicoke,Long Branch,43.60241370000001,-79.54348409999999
M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544
M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
M4X,Downtown Toronto,Cabbagetown,43.667967,-79.3676753
M4X,Downtown Toronto,St. James Town,43.667967,-79.3676753
M5X,Downtown Toronto,First Canadian Place,43.6484292,-79.3822802
M5X,Downtown Toronto,Underground city,43.6484292,-79.3822802
M8X,Etobicoke,The Kingsway,43.653653600000005,-79.5069436
M8X,Etobicoke,Montgomery Road,43.653653600000005,-79.5069436
M8X,Etobicoke,Old Mill North,43.653653600000005,-79.5069436
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
M7Y,East Toronto,Business reply mail Processing Centre969 Eastern,43.6627439,-79.321558
M8Y,Etobicoke,Humber Bay,43.6362579,-79.49850909999999
M8Y,Etobicoke,King's Mill Park,43.6362579,-79.49850909999999
M8Y,Etobicoke,Kingsway Park South East,43.6362579,-79.49850909999999
M8Y,Etobicoke,Mimico NE,43.6362579,-79.49850909999999
M8Y,Etobicoke,Old Mill South,43.6362579,-79.49850909999999
M8Y,Etobicoke,The Queensway East,43.6362579,-79.49850909999999
M8Y,Etobicoke,Royal York South East,43.6362579,-79.49850909999999
M8Y,Etobicoke,Sunnylea,43.6362579,-79.49850909999999
M8Z,Etobicoke,Kingsway Park South West,43.6288408,-79.52099940000001
M8Z,Etobicoke,Mimico NW,43.6288408,-79.52099940000001
M8Z,Etobicoke,The Queensway West,43.6288408,-79.52099940000001
M8Z,Etobicoke,Royal York South West,43.6288408,-79.52099940000001
M8Z,Etobicoke,South of Bloor,43.6288408,-79.52099940000001
